a-profile-name,Ratings,Date_time,Reviews
RMcQuade,1.0,"April 5, 2013","My husband purchased this coffeepot at a local store so we wouldn't wear out the Kuerig. We have a My Kcup, but as much coffee as we drink it seemed a good idea to make one pot of coffee a day and reserve the Kuerig for our favorite flavored coffees or other specialty drinks. Our other 'back up' coffee maker was an older model Mr. Coffee.First of all the clock had so much condensation inside after one use we couldn't read it. Setting the timer involved standing in strategic positions to guess what the clock readout was. It cleared up only once. We keep it pulled out on the counter as per one other user's advice so steam could escape - no dice.Second - No matter how you fill the filter grounds escape. We don't over-fill it, so I don't get it.Third - Today (4/5/2013) the unit just stopped working. It won't turn on at all. 3 weeks and it wasn't even used every day after the first week.Don't waste your money. I'm sad to say that since our other Mr. Coffee coffeemaker was over 15 years old and performed well. We only replaced it because of a broken carafe."
Lady At The Lake,3.0,"June 9, 2013","Husband brought this home in the red color, which was just too bright and contrasty for my taste in the kitchen.He returned it for the ""chrome,"" one which is a tad bid less flashy, but still more ""chrome"" than I like. It takes up more room on the counter top as compared to the other Mr. Coffee which died this morning.  It makes coffee just like the other one, no issues thus far - pretty basic.Next time, I'd like one that has a little smaller of a footprint and I don't need the flashy silver plastic look they call chrome.Why can't these things last longer than a year?"
SugarBeachHippie,1.0,"October 8, 2014",We bought this even though we end up disapointed everytime we try Mr. Coffee pots.  But we thought since this was a little nicer one and we were on a budget we would try it.  It looks nice and fancy and has some nice settings but it still dribbles when you pour like mr coffee always does and 4 months after we bought it it just decided to stop working one morning.  It would turn on but wouldn't heat up or brew!!  What a waste of money. So we are done with mr coffee!  Cuisinart or Hamilton Beach for us!  We tried again and ended up especially dissapointed this time around…. Excuse me while I order a better coffee maker ;)
Mark Vassmer,3.0,"December 21, 2011","Purchased to replace an old Braun coffee maker that had a broken carafe. Had the features we liked, autostop, water filter, delayed start, and the option of a permanent, rather than, paper filter.  Also had two brew strengths, a timer showing the age of the brew, and settings for an optional  thermal carafe.  Was able to follow instructions, though diagrams and text were a little hard to follow.  Filter and basket parts only fit in one way.  Rinsed it per directions and brewed a great tasting cup of coffee.  No dripping from carafe when pouring,  no off odors in coffee, though the machine did have the new smell when first opened before the rinsing.  I would recommend this as an excellent value, even after using it less than a month so far.  They were out I'd stock on Amazon, but Walmart had them.1-Year Update - The ""AUTOSTOP"" spring and plug on the plastic part that holds the filter broke off in the dishwasher 2 times! I replaced the part the first time.  Coffee also DOES DRIP badly on the counter when pouring from the carafe if you don't lift the lid while pouring."
SewNovice,1.0,"December 14, 2011","I purchase this machine about two months ago. I purchased this because I drink a lot of coffee (at least a pot a day) and K cups for my Keurig add up! So I like to alternate between using the Keurig and brewing regular coffee. Initially, it worked fine. I like the option of brewing a ""strong cup"", the timer function, and auto shutoff. However, after about a month of regular use, I would awaken to find my countertop covered in coffee. It appears the spring at the bottom of the filter basket housing gets compressed over time. This resulted in the carafe not pushing the plug upwards which allows the coffee to flow into the pot. The end result is that the coffee fills the basket until there's nowhere left to go but over the top. Since I typically like to have coffee brewed by the time I'm out of bed, there's no way to catch this disaster. In addition, I tried stretching the spring which appears to work for one brew and then it's back to the same problem. I bought the coffeemaker, thinking it was a great bargain (I own two Keurigs and it was much cheaper), however it is not worth the aggravation. I suppose one could find a stronger spring or stretch the one there every time they wanted to use the coffeemaker but I don't want to have to tweak I product which is supposed to work as intended. This was a horrible purchase which will end up in the trash. BTW, the carafe spills every time I pour from it and the hinged lid is flimsy. If you are a regular coffee drinker like I am, save your money and invest in a worthy machine."
typingrandma,1.0,"July 12, 2016",It was awesome for a year and a half!  Then it started leaking water out of the bottom of the reservoir all over my counter!  I think a top end coffeepot should last more than a year and a half with only half time use.  I am very disappointed.  My very first coffeepot from Mr. Coffee years ago leaked out the bottom as well.  Next coffee pot I purchase I will go to another name brand.  I called a small appliance store and they said that means the pump had gone out!!!  WOW!!
AJ,2.0,"October 17, 2014","While this got such good reviews both on Amazon and Consumer Reports.....I don't get it.  The maker overflows constantly.  This is because of design - the grounds holder, which also has the plunger that the carafe pushes up on to release the coffee into the carafe - is floating (not held down).  Therefore about 1/2 the time when you put the carafe under, instead of the plunger valve being pushed up, and coffee flowing, the whole grounds holder pushes up, the valve never opens, and 10 minutes later you have a staining coffee mess on your counter.  I'm a mechanical engineer, and it is clear that this is a poor design to avoid spills.  Amazon did take the unit back as a return, so I am happy with their service."
HeadyTopper,1.0,"December 10, 2012","The user has to do too much to get this thing to work.  I've used coffee makers for 25 years and never had these problems.1.  The water reservoir is in the same compartment as the grounds.  If the grounds overflow they go straight into the reservoir, get sucked up into the mechanism and plug it up, shutting it down.  It takes f.o.r.e.v.e.r to clean it out.2.  If you don't line up the plastic basket correctly, and there are a couple of positions that feel like it's in correctly, the grounds will overflow into the water chamber because the spring-loaded plug at the bottom of it is not lifted properly by the carafe.3.  You must swing the water spout away from the basket to change the grounds.  If you don't swing the water spout back over the grounds it will spit the coffee back into the water reservoir.  If you move the coffee maker much, like in a motorhome or outside for a picnic, the water spout can swing on its own and be in the wrong position.4.  If you aren't exactly perfect with pouring water into the chamber behind the grounds basket, the water goes into the basket and all over other surfaces, splashing out.5.  If the carafe is not placed exactly correctly, the plug at the bottom of the basket won't open, and it will overflow backwards into the water reservoir.  So if you grab an old carafe from a previous maker by mistake, it's not just all over the counter, it's inside where it's a real mess.6.  So far it takes two filters at a time to keep them from collapsing in on the grounds, also creating grounds in the coffee.7.  The chrome on the front of this looks cheap, and I don't have much hope that it will stay in one piece.I'm not lazy, and I'm not even out of it in the morning until I get my coffee, but I was distracted once with company, and one of the things that needed to be done, wasn't, and the grounds went everywhere, and there was only half the coffee in the pot.  It was undrinkable and it smelled like the grounds that spilled into the water reservoir were burning and smoking.  How many years has this company been designing coffee makers?"
D. Albright,1.0,"August 5, 2016","This unit must be designed to fail!  They tell us that budget coffee makers are only supposed to last one or two years.  This must have been written by a twenty something used to nothing but Chinese junk!  I have been around a while and remember when Mr. Coffee ""budget"" coffeemakers lasted MANY YEARS.  When it quits they will send you a new one....right!....the same model that has failed for everyone who bought one.  Customer Service....handled by a separate entity that represents many companies and issues the same stock apologies for everything and could care less!"
Alex Scorpio,2.0,"March 31, 2015","It's next to impossible to find a good coffeemaker at a reasonable price, so I bought this based on the favorable reviews posted here. The big problem is that the machine is designed so that the arm that drips the water into the filter is not centered over the filter basket. No matter how much coffee I make, some of the the ground coffee is dry when the brew cycle is done. As a result, the coffee is weak unless you compensate by putting in more coffee. You end up wasting a lot of coffee and time."
zorg,1.0,"May 26, 2015","Yet another product built to last just beyond the warranty date, forcing you to keep buying these things once a year or so.We bought this 15 months ago on Amazon (on my wife's account).Today the coffee pot/carafe shattered when exposed to hot water when hand washing it.  2 months ago the reusable filter's handle broke.The feature meant to ""pause"" dripping while you pour you coffee doesn't always work and it drips water/coffee onto the burner."
TheDucks,3.0,"July 17, 2014","It makes Good Coffee but I hate the Glass Carafe spout.Initial setup (prep) was easy. Remove packaging, wash the Carafe and basket, brew a Pot of water.I do question the recommended  quantity of grounds: 9Tablespoons for 12 cups would overflow the filter.Did the writers make the common confusion of tsp (teaspoon)<=> tbsp (tablespoon)I used 4.5 Tbsp and the basket was 2/3 filled after brewingThe carafe spout? The short neck makes it impossible to pour without dribbles"
Kansailor,4.0,"November 26, 2011","Have had this pot for over a year now.  I like the timer feature--shuts off after 2 hours. Makes good coffee, doesn't burn coffee.  No problem filing water reservoir,  filter collapsed on me one time but I think that was because the filter was folded to begin with.  Carafe doesn't leak if you don't pour too quickly--just like most other coffeemakers i've ever owned and way better than some I've owned.  I have the thermal carafe but don't use it.Only complaint I have is that the heating plate under the coffee carafe is rusting.  I clean the pot after each morning's use but don't dry it.  There is condensation on the pot sometimes--all normal usage issues. Once the paint wears off the plate, it starts to rust.  I wish the plate came in stainless steel or that I could buy a stainless replacement.5 stars for great coffee maker but one star off for rusting plate"
Tony P.,2.0,"June 3, 2012","I believed the hype from CU regarding this highly-rated product.  I should have read more reviews from actual users.I bought it at a B&M store two months ago and am returning it today.  My wife noticed that we could not get the coffee and maker to stop smelling like plastic.  Yes, we cleaned it.  Also, the optional thermal carafe is not worth purchasing even if you like the coffee maker; it made the coffee smell and taste ""off"" as well.One thing in particular I don't understand re: the product design is the lack of steam vents; the water heating area consistently had cooled steam condensed in the water storage area.  This simply seems like a bad idea (moisture breeds bacteria, etc.).Very disappointing."
David Swanick,1.0,"December 29, 2013","After years of faithful service from my previous Mr. Coffee machine, it finally went to caffeine heaven and I was forced to replace it.  So I had no qualms about getting its new, redesigned progeny.First, the minor faults.Yes, there was the mentioned ""plastic taste"" for the first several uses.  But it seemed to dissipate for me after about a week of regular use.  And yes, there was the general lack of rich flavor which wasn't completely alleviated by brewing on ""strong"".  Which brings me to the another problem - that you have to set a ""strong"" brew every time you start a regular or delayed brew cycle.  My previous Mr.C didn't need this, it's just a failure of the design.  Finally, there is the carafe, which will dribble and splash if you try and pour at any pace faster than ""dead slow"".But those are minor issues.  After a few weeks of use I started a brew cycle only to have half of the water back up in the ground basket and run everywhere, even into the fresh water reservoir.  Coffee was running down the inside of the carafe area and onto the hot plate, and even after repeated rinsings I am unable to get all of the grounds out of the fresh water reservoir.In short, while previous versions of the Mr. Coffee have been great products, this one is not."
K to the eadie,1.0,"July 1, 2015","I don't understand WHY there are SO MANY great reviews here. I had to buy a coffeemaker RIGHT AWAY, after mine died one night. It was more than 8 yrs. old, and was my most reliable friend. It, too, was a Mr. Coffee, which was why I wanted to stay with that brand. I searched online for something similar to mine, but since they are always changing series, and mine was SO OLD, I didn't have any luck finding a similar model. I didn't really like the looks of this one, but then I started reading the reviews. There was SO MUCH to LOVE about this one! And, the price WAS comparable to what i paid for my old one. And, I DO need something RIGHT NOW. So, I bought it at Walmart. HOW BAD COULD IT BE??I found out about an hour later...I opened the box & pulled it out. It seemed really big to me. Oh, and the carafe wasn't secure, so It fell out onto the floor. And when the lid slammed down, it sounded like a tin penny. I was so used to the deep,smooth 'THUMP' of my old one. And, this one was so flimsy. there was plastic on glass. nothing to give it any coosh. To the point of not being able to control how hard it slapped into the glass. It was so cheap. I already was feeling sad about this choice. But, I went on. I picked it up to go to the kitchen & it seemed to be SO LIGHTWEIGHT. And THIS was the first thing that happened (I don't like where this is going.):When I placed this on the counter, it was wobbling/rocking and wouldn't sit flat, no matter where I put it. I flipped it over, and the 'seams' made in fabrication had not been cleaned up! ESPECIALLY on the two front feet! So, I had to put UNPLUG & FLIP IT ON ITS HEAD to trim all that stuff off. I was afraid to use a razor, cuz I didn't want to gouge the thin plastic, but that's what i ended up using. IT STILL WOULD NOT SIT FLAT. So, I grabbed an emory board & started filing all those rough edges off. THIS IS NOT MY JOB! I was working on that for about 45 & realized this was NOT going to sit well. So to speak. So, I grabbed som medical tape, that was a little spongy, and cut little slits to place over those front feet & level this thing out! Then THIS happened:I placed the machine in the ONE & ONLY space i can use for a coffeemaker. It fit PERFECTLY in that space. HOWEVER, THE WATER WINDOW IS NOW UP AGAINST THE WALL. AND IN THE VERY BACK OF THE UNIT. SO, THAT WINDOW IS NOW USELESS TO ME. AND, I RELY ON THOSE WINDOWS TO SEE IF I'VE ALREADY POURED THE WATER INSIDE & HOW MUCH IS THERE!  NOW, I'LL HAVE TO GUESS... Then, THIS happened:THE FILLING LID OPENS FROM THE LEFT SIDE. THE SIDE WHERE THE WATER WINDOW IS. AND, I CAN'T EVEN SEE WHERE TO POUR THE WATER. THERE'S JUST A LITTLE BIT OF CORNER ~ IN THE BACK LEFT SIDE, ~ THAT I'M SUPPOSED TO POUR 12 CUPS OF WATER INTO WITHOUT SPILLING ANYTHING OR GETTING THE PAPER FILTER WET. I CAN'T EVEN SEE INSIDE THIS THING!! THIS IS GETTING RIDICULOUS. Then THIS happened:I go to set the clock. FINALLY something goes right. EXCEPT I HAVE TO BE ABOUT AN INCH FROM THE SCREEN TO EVEN SEE IT!! WHY IS IT EVEN THERE? I THERE'S NO BACK~~LIGHT. They really didn't need to put that on it. It is 100% USELESS TO ANYONE! So, then THIS happened:I wash the carafe with hot, soapy water ~ as per the instructions. As I'm drying it, I see a LOT of 'smudges' on the glass. So, I try to rub them off with the towel. Nothing. So, I brought it outside to get a better look. THEY ARE SCRAPES & SCRATCHES IN THE GLASS. REALLY?? You couldn't even give me good GLASS?? Come ON!Now for my solution & altercation. All THIS just for a cup of coffee?FIRST, I FILLED THE CARAFE TO THE 12 cup LINE & THEN INTO ANOTHER BOTTLE ~ BECAUSE IT IS PHYSICALLY IMPOSSIBLE FOR ME TO POUR ANYTHING AT THAT ANGLE. AFTER IT WAS ALL IN ANOTHER BOTTLE, I MARKED THE BOTTLE WITH A FILL LINE BECAUSE IT WARNED ME OVER & OVER & OVER THAT I CAN NEVER PUT ANY MORE THAN THOSE 12 cups INTO THE MACHINE!! (oh, and I forgot something. Inside are 2 white things that are also fill lines if you can't see the window. I CAN'T SEE THESE LINES BECAUSE THEY ARE HIDDEN BY THE FILTER CUP WHEN I'M LOOKING IN! ANOTHER useless feature!!) NOW, SINCE I'M STILL IN THE WRONG ANGLE TO POUR, I HAVE TO PLACE A HUGE FUNNEL INTO THAT TINY CORNER SPOT AT THE BACK LEFT HAND SIDE. I COULDN'T USE A SMALL FUNNEL, THERE WAS NO ADVANTAGE TO IT. I NEEDED TO COVER UP ANY AND ALL SPACES THAT WEREN'T WHERE THE WATER WAS SUPPOSED TO GO! AAARRGGHHHH!There are several things that are crystal clear to me now.#1 ~ my OLD unit MUST HAVE BEEN one of Mr. Coffee's ""TOP OF THE LINE"" at the time I bought it. It was amazing! AND SOLID!!! There was NOTHING CHEAP about my old unit. There is no comparison in quality.#2 ~ Mr. Coffee is now owned by SUNBEAM. Sunbeam has always made, what I call, ""THROW AWAY ITEMS"". Items I would rather buy cheap & replace when they get dirty, gunky or broken. Like toasters & heating pads. I'd rather buy a $10 toaster & replace it every couple of years, than to pay $50 & have to clean it for 10-15 years! IT'S A TOASTER. The $10 one STILL MAKES TOAST! And, THIS is a ""$10 toaster"". So, WHY ARE THESE COFFEEMAKERS SO EXPENSIVE? This is a VERY POOR QUALITY ITEM! WHY IS IT $40??And, finally, #3 ~ I am taking my time, right now, to find the RIGHT coffeemaker. One that will make me happy for a long time. When I do find it, I will be RETURNING THIS JUNK.The End."
Joseph A. Hala,1.0,"April 8, 2013","Owned several Mr Coffee machines over the years and needed to get a new one only because I could no longer buy a new carafe which broke. Bought this one based on reviews/price. Unboxed it to find the most irritating ""feature"" that now just makes you place the water filter over the coffee basket. I see others have also complained what happens when the filter slips or you finally get sick of it and toss the filter aside. The designers obviously do not make their own coffee! Save yourself some grief and find a different model. I rebooted mine before even trying it once and returned it."
Robert Hills,5.0,"November 14, 2011","After three months use I can rate this as perfect. It's top rated by Consumer Reports.  The thermal carafe (must purchase separately) is the best way to go, primarily because when the brew cycle is finished the hot plate turns off--saves energy and when making a second pot the coffee maker is already cooled down.  The activated charcoal filter is also great for removing the taste of chlorine from city water.  Overall it is easy and intuitively simple to use.  As with every brand of coffee carafe some care must be taken when pouring the first cup to avoid drips."
Tech junkie,4.0,"October 5, 2014","This is a very good coffee maker in a lot of ways and I would have to agree with Consumer Reports, however...This coffee maker has the same issue as many/most other coffee makers out there.If the machine is left unattended for the whole cycle you will find some of the grounds were not used in the brewing process sue to the water not being poured onto them from the machine.I have found that if half way through the cycle you turn the ground basket you get better results."
Steve Kos,1.0,"November 7, 2014","This is worst coffee maker I have ever owned.  The people who designed it must have never used a drip coffee maker.  The filter must be aligned just right or the water spout causes it to collapse, sending grounds everywhere.  The water level indicator is very hard to see.  The basket does not actually lock in place, and if it is not right, the water and grinds overflow into the reserour.  Since I put a pot of coffee on at 5 A.M., none of these setbacks endear me to this product.  Also, unless you wipe it out after use, the darn thing never dries.  We wash the basket after each use and let the lid stand open.  When we come back 12 hours later, it is still very wet.  There is always water puddled in the lid, basket holder.Stay away from this one!"
P. G.,1.0,"July 29, 2017","I bought this coffee maker 9 months ago.  It worked fine during that time - though putting in the water is a hassle (you have to turn the pot completely upside down to pour in the water).  I could live with that.  I cleaned it when the light came on to clean, used it once a day.  5 days ago it completely stopped working - the water doesn't come through the tubes.  In fact, water started pouring out the back of the machine (there is a little hole there; not sure what it was for).  I am now using it by pouring water I have boiled to make my coffee until I find another one I want to purchase.  Honestly, I should have read the reviews before I bought it.  It wasn't worth the money - even at a low price!!"
deebeefc,1.0,"November 23, 2014","My niece gave me this coffeemaker for an early Christmas present because my Gevalia coffee maker just died. i put full 12 cups of water in the basket to give it its basic cleaning (per instructions). About 1/2-way thru, the machine starting coughing & spitting. I knew it was leaking, and when it completed the cycle, the base was soaken wet, and had dripped onto my countertop & my cabinets underneath. Disappointing. Sending it back. My last Mr Coffee (about 10 years ago) didn't keep the coffee hot enough."
Bethany Wilson,1.0,"July 17, 2013","We bought this coffeemaker at Walmart (in red) because our old one died and we needed an immediate replacement.  I read many of the reviews here before purchasing it.  We have been using it for about 3 months now.  It never had a strong plastic smell, and we have not had any trouble with it leaking or malfunctioning in any way.  The coffee tastes great.One of the reasons we chose this model (in addition to the consumer magazine recommendation and mostly good reviews on Amazon) was the option to use a thermal carafe, since our former coffeemaker had that and we liked it.  However, I haven't even bothered to purchase the optional thermal carafe.  The glass one suits us fine for now.***Update: This unit died after only 5 months of daily use.  Unacceptable.  We exchanged it for another.  Hope the 2nd one will last longer."
ksredhook,2.0,"January 23, 2014",this is not the coffeemaker for you if you like stronger coffee. the stronger setting does not work. I work around this failure by pouring 1/2 of the brewed coffee back over the beans The coffee turns out to be good this way. since the coffee brews so fast the total time would be equivalent to a coffee maker where the strong setting actually worked to slow the brewing time. If you like strong coffee get the black and decker for about  the same price
Hello,2.0,"August 15, 2016","I don't normally write reviews or return items back to stores, but I have to for this product. I just bought this product last week and will be returning it already. The coffee does not brew at a hot enough temperature to produce even decent coffee. I also notice if you leave the coffee in the pot for 20 minutes or longer, it gives the coffee a burnt taste. Therefore, the coffee is not brewed at a hot enough temperature, while the pot heating element is way to hot, so you wind with very mild/bland, burnt tasting coffee. I did a comparison to our old $20 Mr. Coffee machine that just has one button and the $20 machine definitely produced a much better tasting cup of coffee (with the same exact coffee beans) and did not burn the coffee in the pot even after 2 hours. Maybe I received a defective machine but I definitely returned this machine already and will be purchasing something else."
sirb,1.0,"June 20, 2016","My Mr. Coffee stopped working after only 4-1/2 months.  I read lots of reviews and wasn’t going to buy a Mr. Coffee but my husband decided this was the machine for him.  I cautioned him about all the bad reviews across multiple sites but he  insisted that we get this machine.  Sad to say but I get to have my “I told you so” moment.  When it worked, the coffee was ok but not great.  The machine itself was cheap plastic but for the cost I supposed I shouldn’t have expected more.  However, the fact that customer after customer has the same issue – not brewing – should tell the manufacturer that there are serious quality issues with their product.  If you like purchasing a new coffee maker every 2-6 months, then this is the machine for you.  If not, avoid this machine."
Gordie,4.0,"December 5, 2011",This coffee maker surprised me. For the price it's hard to beat. The coffee is hotter than most makers. You do have to pour the coffee very slowly as not to make a mess. Being me I didn't read the directions before setting up the machine. As soon as I did the set up was easy. There are a lot of lights that go off when the machine starts up but that's okay. As an option you can buy a SS pot (about $17) at Walmart if that's what you want. I didn't.  I'll use maker until it quits or stops producing hot coffee.
Sarah,5.0,"September 30, 2018","I just stumbled across the fact I never reviewed this. Bought it 4 years ago, use it almost every day, and it still works perfectly. That kind of dependability makes Mr. Coffee as a brand I recommend to friends."
E. A. Hodge,2.0,"January 19, 2013","I bought this model less than a year ago on here. Up until a week ago, my only complaint was that the glass carafe dripped coffee on the counter while pouring a cup. But, a week ago my maker just stopped brewing and the warming plate would not warm up. After researching on Google, I discovered that the issue most likely is a blown thermal fuse and that Mr. Coffee is notorious for this. Since this happened within the 1 year warranty time frame, I am able to send it Mr. Coffee headquarters for a free repair, but I'm forced to buy a cup at my local Shell Station every morning in the meantime. So, even though this model had excellent features for the price, you run a high risk of it malfunctioning within a short time frame. I would recommend spending a bit more money on a coffee maker that has the same features but is more reliable."
Elaine Hyman,4.0,"September 11, 2014",I got this coffee maker from Costco (my second or third) and I like it and most Mr. Coffee brands a lot; except that my husband keeps breaking the pot in the sink.  The replacement pots I get from Amazon. I am actually looking for a stainless pot to travel with but the reviews are not that good.  The option to make a stronger cup is awesome. Is there a difference in taste from glass pot to stainless steel?  You have to be a coffee drinker to understand the difference of a good vs great coffee maker.
Jennifer,5.0,"February 2, 2013",I love this coffee maker. I've had it about a year now and I have no complaints. I did a lot of research before buying this one because I absolutely hated the one I had before. I like the option to brew stronger coffee and the fact that you can buy a stainless steel carafe if you want. I've replaced the water filter recently and it wasn't expensive. I can brew 4 to 5 cups and the coffee is perfectly hot and the right strength. I have been very pleased with my Mr. Coffee.
William Clegg,1.0,"August 28, 2015","horrible product support from the company-- had it only only month and it just quit working  one day after working earlier in the am.  Because I was honest and told them I had experienced one power outage in that month, even though it worked AFTER the power outage, Latoya and her supervisor at Mr. Coffee service center said that their product failure was ""an act of God"" and that they would not cover a replacement.They suggested that I should unplug  it after every use, even though this model comes with a delayed brewing button and clock to set up for the next morning!I have been using a Mr Coffee since the 70's when Joe DiMaggio advertised for them, but with their condescending customer service they have lost a customer for life and I would advise no one else purchase from this company"
Jimmie,5.0,"October 12, 2011","I had to pay a little more for this at Lowes because I needed it right away for a meeting, so this is a good price. I have tried three other coffee makes in the past 5 years and this is by far the best. I consider it just about perfect after dealing with all the the others that had various annoying flaws. The design is great, it's easy to use and it makes good coffee. I read the reviews where people said it leaked and dribbled and I can't figure out how they made their carafes do that. It makes me wonder if they are even talking about that same coffee maker. It looks good on the counter, is not too big and it gets the job done - hot coffee brewed to your strength preference."
Karsten Weiss,3.0,"July 20, 2015","Machine works fine so far, BUT there is no water filter included. The hardware to INSTALL a water filter is included. If you don't purchase a water filter separately, you won't be able to filter the water. There is no indication on the Amazon page and the box that one has to purchase the filter separately. Just so you all know."
Dot Strong,1.0,"June 6, 2016","The problem I am having with this coffee maker is that if you don't get the basket in the PERFECT spot, the water stays in the basket and does not drip into the carafe. Then it the hot water and grounds begin to leak all over the place.I have not noticed a chemical taste, but it's not very hot and it's kind of weak.I will be returning it."
Aldo,1.0,"May 6, 2016",100 Percent JUNK.  Buy this and you will have coffee brewed and SPILLED all over your counter while you are at your groggiest and sleepiest and most desperate for a cup of coffee.  Total POS.  NEVER AGAIN.  (Bought mine at Walmart btw but exact same piece of junk probably made in China by 5 year olds).
Joey,5.0,"January 29, 2014","No more worrying about whether I turned the coffee pot off or not- It automatically turns itself off after 2 hours. I also love that I can chose between strong brew and regular- Half of my family drinks regular, the other half including myself drinks the Strong Brew. Also, This thing is indestructible- PERFECT for clumsy people like myself. When I moved to where I am living now, I dropped the entire thing in the street trying to foolishly carry it plus 2 giant boxes into the new house. I almost cried until I saw not one scratch- And that was one year ago, right after I bought it, and it still works in mint condition. If your whole family is a bunch of coffee drinkers like mine, I strongly recommend this coffee pot."
Bruce Bates,5.0,"January 21, 2013",I recently purchased this coffeemaker and i love it.it has a lot of nice features you usually do not see on coffeemakers in this price range.among the many features of this coffee maker is the delay brew feature that can be programed to make coffee on a time delay basis or for daily brewing as well. just set it and forget it.I have always had my coffee very hot after brewing and i use Folgers Colombian coffee and it tastes very good every pot is perfect and the pause and serve feature is a great feature as well.I also enjoy the delayed brew feature and that is a very nice feature as well.I have not owned this coffee maker for 3 months yet and i have not had a mold or mildew problem yet.My advice would be to dump out the old coffee grounds and rinse out the filter  if it is the permanent type and let it air dry and the same goes for the coffee maker as well try not to get the bottom of the coffee maker wet and using a hose type sprayer from your sink to rinse it out well and turn it upside down and drain it on a towel  and just leave the water filter in a glass of plain water so it stays wet and rinse it off as well in order to keep it clean.
Amazon Customer,1.0,"April 29, 2020","Purchased in February 2020, machine quick working April 29, 2020. Dispensing nozzle interferes with pot top; hard to slide in and out. Grounds basket has an unnecessary ""pail handle"" that interferes with emptying/discarding used grounds. The WORST product I have ever bought. IT DOES NOT DESERVE ANY STAR."
Amazon Customer,1.0,"December 4, 2012","Cannot get this coffee maker to make a decent cup of coffee even after rinsing it with vinegar and running several pots of water through it and using bottled water.  To me there is a burned taste.Also you really must get the pot in just so or it will flood the counter with coffee and grounds.Didn't keep the box so I will do what others here have suggested and rinse with vinegar, then baking soda, and air more I guess."
Anonymous,1.0,"January 5, 2016",Doesn't keep the coffee hot at all.  Leaks/drips.  Shuts off way too soon.  Going for another cup and the coffee is cold.  The minimum time for shut off should be four hours-this shuts off after two!  Cold coffee.  Not that a good after reheating.  Shop for better.
pmiller,3.0,"August 11, 2012","After my old Mr. Coffee gave up the ghost (heater failure), I bought one of these. This is definitely a Right-Handed machine. I have found many problems with the Human Inferface:  There's only one water viewing site and it's on the right side that I have to put next to the refrigerator. The 18"" cord is not long enough to locate the machine anywhere else without extension cord. The top opens sideways, therefore if placed on the counter under the low hanging kitchen cabinets, it must be moved to open the top. When the top is open, the water must be poured in from the right side. Otherwise the water spills into the basket. The clock/timer on the front is not visible if you are 6' tall and standing in front of the machine (at 5'4"" it's visible, barely). The black on green LCD clock is not visible from across the room (the old red LED was visible). It has a coffee strength feature that you can no adjust when using the automatic delay start. Otherwise, I thought the coffe that it produced tasted burnt. I'll have to figue out if that's due to the water or the coffee. All coffee makers operate the same way: hot water pours over ground coffee and drains into the pot. For the money, it's a great coffee maker."
What what!!,2.0,"April 29, 2016","I didn't buy from Amazon but did buy from one of the big box stores. The coffee pot worked really nice and the filter did seem to make it taste better. We really liked the way you can set the brew mode to strong or regular. The problem is, the coffee pot isn't durable. True it is used everyday but after 6 months of use, it no longer pushes water thru the machine. For the last two days we have had no coffee. This is not only very inconvenient but also a safety hazard. I have ran into at least three ditches driving to work last two days because my eyes were barely open. My children have been two hours late to school each day because we can seem to get around on time. This coffee pot has been a life changer and not a good way. I only hope I can stay awake long enough today to order a suitable replacemen....."
Russ & Linda Lingenfelter,1.0,"September 3, 2014","Shoddy workmanship on a poor design.I've owned two of this model coffee maker.  The first lasted two years, the second less than one.  Heating elements burned out.  The carafe was poorly designed, hard to pour from without holding the top up and steam comes out the top and burns your thumb.I will never buy a Mr. Coffee again."
Julie K. Nichols,5.0,"February 3, 2015","OHMYGOSH My hubby is so happy with this gorgeous coffee maker. We got a great deal on this and hubby is absolutely tickled pink that we ordered this one. It looks like a much more expensive model. It does everything it is supposed to do, there have been no problems at all and hubby says it makes a great cup of coffee. Highly recommend!!"
Betterfli,1.0,"July 17, 2014",The worst tasting coffee I have ever had and that is without exaggeration.  The first cup almost had an electric taste so I ran hot water through the machine again and the second cup tasted like horrible unfiltered soiled water. This machine is LOUD. There were plastic parts that came loose and caught on the filter the three times it was in use. I boxed it up and took it back same day!
Thomas R.,1.0,"September 1, 2015","I was using this coffee maker for 6 months once a day (so not intensive) and now it stopped working. The maker doesn't seem to be able to suck in the water. I exchanged it and bought this one, which hasn't let me down yet.http://www.amazon.com/gp/product/B0041A5H5S/ref=as_li_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0041A5H5S&linkCode=as2&tag=waycoolashtra-20&linkId=EFVXFHO35J7TQ7CB"
Thomas,5.0,"December 13, 2014","I really like this coffee maker so far, it does everything I need it to do.  I like the fact it has a water filter.  The only minor issues are that the beep that tells you the coffee is ready beeps about 45 seconds too early before the coffee is done and also the ""strong"" coffee setting doesn't stay selected I have to select it each time.  Other than those very minor things I love everything else about it."
J. Cronin,3.0,"November 30, 2011","My only complaint is that the machine was falsely advertised, under ""Product Features"", as having a ""special cleaning cycle"" that ""makes cleaning your coffeemaker quick and easy.""  It was one of the main reasons I bought this unit.  IT HAS NO SUCH CLEANING CYCLE!  I should have bought a JWX 27 model which I know does have the cleaning cycle.Other than that, it makes fine coffee.  I just didn't want to go through the hassle of returning it for an exchange."
